Date,Open,High,Low,Close,Adj Close,Volume
2018-07-04,9.270000,9.390000,9.160000,9.300000,9.300000,1954100
2018-07-05,9.430000,9.520000,9.335000,9.360000,9.360000,4798500
2018-07-06,9.300000,9.390000,9.110000,9.250000,9.250000,5678400
2018-07-09,9.200000,9.290000,9.080000,9.160000,9.160000,4967000
2018-07-10,9.210000,9.250000,9.080000,9.120000,9.120000,3321600
2018-07-11,9.090000,9.180000,8.920000,9.030000,9.030000,4437600
2018-07-12,9.140000,9.150000,8.930000,8.930000,8.930000,4547600
2018-07-13,8.890000,8.930000,8.540000,8.620000,8.620000,6201100
2018-07-16,8.510000,8.570000,8.050000,8.060000,8.060000,8370100
2018-07-17,8.010000,8.200000,7.830000,7.970000,7.970000,8874100
2018-07-18,8.020000,8.170000,7.870000,7.960000,7.960000,6447800
2018-07-19,8.030000,8.030000,7.650000,7.680000,7.680000,7740600
2018-07-20,7.650000,7.700000,7.310000,7.360000,7.360000,9192900
2018-07-23,7.390000,7.700000,7.380000,7.700000,7.700000,10358400
2018-07-24,7.700000,7.700000,7.100000,7.110000,7.110000,13424500
2018-07-25,7.250000,7.250000,6.900000,6.940000,6.940000,10885200
2018-07-26,6.850000,6.950000,6.530000,6.850000,6.850000,14904800
2018-07-27,7.010000,7.100000,6.820000,6.980000,6.980000,37673500
2018-07-30,7.080000,7.090000,6.680000,6.810000,6.810000,12619100
2018-07-31,6.760000,7.100000,6.650000,7.020000,7.020000,9257900
2018-08-01,7.030000,7.100000,6.780000,6.840000,6.840000,8538500
2018-08-02,6.880000,6.880000,6.650000,6.740000,6.740000,6287100
2018-08-03,6.770000,6.850000,6.500000,6.540000,6.540000,21417800
2018-08-07,6.610000,6.630000,6.050000,6.160000,6.160000,14489300
2018-08-08,6.150000,6.420000,6.120000,6.180000,6.180000,9413100
2018-08-09,6.260000,6.300000,6.150000,6.250000,6.250000,6181100
2018-08-10,6.310000,6.310000,6.060000,6.090000,6.090000,10058400
2018-08-13,6.140000,6.170000,5.770000,5.920000,5.920000,8579100
2018-08-14,5.820000,5.870000,5.290000,5.340000,5.340000,12799300
2018-08-15,6.140000,6.750000,5.820000,6.380000,6.380000,34121900
2018-08-16,6.410000,6.600000,6.160000,6.250000,6.250000,11484200
2018-08-17,6.220000,6.510000,6.070000,6.500000,6.500000,11583400
2018-08-20,6.820000,7.650000,6.670000,7.610000,7.610000,30595100
2018-08-21,8.090000,8.750000,7.740000,8.160000,8.160000,48842500
2018-08-22,8.070000,8.160000,7.660000,8.050000,8.050000,23900600
2018-08-23,7.960000,8.140000,7.830000,8.030000,8.030000,15223600
